"","treated","age","education","black","married","nodegree","re74","re75","re78","hispanic","u74","u75","q1"
"16126",0,27.0723357074947,12,0,0,0,0,0,11294.6298828125,0,1,1,"strongly agree"
"16127",1,25,14,1,1,0,35040.0703125,11536.5703125,36646.94921875,0,0,0,"agree"
"16128",0,21,12,0,0,0,7254.419921875,5440.81494140625,11544.0087890625,0,0,0,"agree"
"16129",1,21,12,0,0,0,8059.57958984375,7390.63427734375,3557.93432617188,0,0,0,"strongly agree"
"16130",1,21,12,0,0,0,3670.8720703125,334.049407958984,12558.01953125,0,0,0,"strongly agree"
"16131",1,38,11,1,0,1,0,0,0,0,1,1,"no opinion"
"16132",1,40,12,1,0,0,0,0,10804.3203125,0,0,1,"neutral"
"16133",1,41,9,1,1,1,6307.50390625,5783.9814453125,0,0,0,0,"disagree"
"16134",0,28,10,1,1,1,8293.3447265625,6449.47998046875,16988.1796875,0,0,0,"neutral"
"16135",1,42,12,1,0,0,0,0,2456.15307617188,0,1,1,"strongly disagree"
"16136",1,27,8,1,0,1,6150.48291015625,7218.27734375,-2248.3247290377,0,0,0,"disagree"
"16137",1,23,12,1,1,0,15979.0126953125,15079.947265625,10283.48828125,0,0,0,"no opinion"
"16138",1,48,4,1,0,1,0,0,6551.591796875,0,1,1,"disagree"
"16139",1,29,10,0,0,1,0,8853.673828125,5112.01416015625,1,1,0,"disagree"
"16140",0,27,7,1,1,1,0,0,0,0,1,1,"strongly disagree"
"16141",1,44,11,1,0,1,0,0,0,0,1,1,"disagree"
"16142",0,26,8,1,1,1,3854.58520507812,4084.25805664062,0,0,0,0,"strongly agree"
"16143",1,37,11,1,1,1,0,0,9930.0458984375,0,1,1,"no opinion"
"16144",1,31,9,1,0,1,10717.0302734375,5517.8408203125,9558.5009765625,0,0,0,"neutral"
"16145",0,36,11,1,0,1,5519.66943359375,7311.5615234375,0,0,0,0,"neutral"
"16146",0,22,7,1,0,1,13503.76953125,13503.76953125,11607.0849609375,0,0,0,"disagree"
"16147",0,50,10,0,0,1,0,0,0,1,1,1,"strongly disagree"
"16148",1,29,11,1,1,1,0,0,9642.9990234375,0,1,1,"neutral"
"16149",1,38,9,0,0,1,0,0,6408.9501953125,0,1,1,"agree"
"16150",0,28,11,1,0,1,17491.44921875,13371.25,0,0,0,0,"disagree"
"16151",0,36,11,0,0,1,5443.73388671875,3063.8779296875,1324.5419921875,1,0,0,"neutral"
"16152",0,22,11,1,1,1,0,0,1698.30395507812,0,1,1,"disagree"
"16153",1,33,11,1,0,1,0,7867.916015625,6281.43310546875,0,1,0,"agree"
"16154",1,31,4,1,0,1,8517.5888671875,4023.2109375,7382.548828125,0,0,0,"neutral"
"16155",1,37,9,1,0,1,0,0,1067.50598144531,0,1,1,"agree"
"16156",0,29,11,1,1,1,0,0,10225.8798828125,0,1,1,"neutral"
"16157",0,34,12,1,0,0,4906.619140625,4087.2138671875,5670.8193359375,0,0,0,"neutral"
"16158",0,45,9,1,0,1,0,0,4844.80322265625,0,1,1,"agree"
"16159",0,31,11,1,0,1,19555.31640625,18291.412109375,0,0,0,0,"strongly agree"
"16160",0,28.786433369098,11,1,0,1,8419.75,7505.21337890625,308.335235595703,0,0,0,"disagree"
"16161",1,19,9,0,0,1,3083.6689453125,3276.150390625,14271.2353515625,1,0,0,"neutral"
"16162",0,33,12,1,0,0,0,0,5970.2568359375,0,1,1,"disagree"
"16163",1,17,10,1,0,1,1291.46801757812,5793.85205078125,5522.7880859375,0,0,0,"agree"
"16164",1,25,11,1,1,1,0,0,1574.42395019531,0,1,1,"strongly agree"
"16165",0,22,11,1,0,1,1167.01538085938,875.261535644531,9139.65234375,0,0,0,"neutral"
"16166",1,22,11,1,0,1,8176.39208984375,7497.75146484375,668.74658203125,0,0,0,"strongly agree"
"16167",0,19,8,0,0,1,1087.80322265625,1087.80322265625,2987.10083007812,1,0,0,"strongly agree"
"16168",1,22,11,1,0,1,12300.9228515625,12170.943359375,8408.392578125,0,0,0,"agree"
"16169",0,25,10,1,1,1,0,0,3701.81201171875,0,1,1,"neutral"
"16170",0,25,10,1,1,1,13519.9697265625,9319.4443359375,0,0,0,0,"agree"
"16171",0,43,10,1,0,1,2502.86791992188,4128.44287109375,7565.27294921875,0,0,0,"no opinion"
"16172",0,34,11,1,1,1,0,0,6040.3349609375,0,1,1,"agree"
"16173",1,46,8,1,0,1,3165.65795898438,2594.72290039062,0,0,0,0,"no opinion"
"16174",0,21,11,1,1,1,9659.4150390625,7244.56103515625,8976.826171875,0,0,0,"disagree"
"16175",0,22,9,1,0,1,0,506.407592773438,604.19873046875,0,1,0,"strongly agree"
"16176",0,34,10,1,1,1,0,0,0,0,1,1,"disagree"
"16177",1,29,10,1,0,1,0,4398.9501953125,0,0,1,0,"agree"
"16178",1,28,11,1,0,1,6988.64031092433,6871.85595703125,0,0,0,0,"neutral"
"16179",1,28,11,1,0,1,0,1284.07897949219,60307.9296875,0,1,0,"disagree"
"16180",1,28,10,1,0,1,0,2836.50610351562,3196.57104492188,0,1,0,"agree"
"16181",0,45,11,1,0,1,0,0,11796.4697265625,0,1,1,"no opinion"
"16182",0,27,11,1,0,1,0,0,11197.33984375,0,1,1,"no opinion"
"16183",1,27,11,1,0,1,3311.802734375,2483.85205078125,0,0,0,0,"disagree"
"16184",0,26,12,1,0,0,9247.1015625,8479.5927734375,10820.552734375,0,0,0,"disagree"
"16185",1,27,10,1,0,1,3504.16821289062,3213.322265625,2003.30035174462,0,0,0,"no opinion"
"16186",1,29,4,1,0,1,0,0,762.914611816406,0,1,1,"agree"
"16187",1,25,11,1,0,1,0,0,9897.048828125,0,1,1,"no opinion"
"16188",0,18,7,1,0,1,0,0,4132.5771484375,0,1,1,"neutral"
"16189",1,23,12,1,0,0,9342.1875,7782.0419921875,14416.8359375,0,0,0,"neutral"
"16190",1,23,12,1,0,0,5506.30810546875,501.074096679688,671.331787109375,0,0,0,"agree"
"16191",0,34,12,1,0,0,0,0,2113.72192382812,0,1,1,"strongly disagree"
"16192",1,24,11,1,0,1,9344.451171875,9180.919921875,0,0,0,0,"agree"
"16193",0,24,11,1,0,1,0,1327.99304199219,9495.90234375,0,1,0,"disagree"
"16194",0,30,12,1,0,0,0,0,13613.349609375,0,1,1,"no opinion"
"16195",0,26,8,1,0,1,1126.2900390625,5562.59814453125,3523.57788085938,0,0,0,"agree"
"16196",1,21,12,1,0,0,473.114196777344,807.951110839844,4350.9072265625,0,0,0,"agree"
"16197",0,23,11,1,0,1,0,0,4350.9072265625,0,1,1,"neutral"
"16198",0,23,11,1,0,1,7617.36181640625,5716.4072265625,10274.83984375,0,0,0,"no opinion"
"16199",1,25,9,1,0,1,1419.34362792969,1536.5029296875,1709.34240722656,0,0,0,"neutral"
"16200",1,24,10,1,0,1,4250.40185546875,2421.94702148438,1660.50805664062,0,0,0,"disagree"
"16201",1,31,11,1,1,1,0,0,8087.48681640625,0,1,1,"disagree"
"16202",1,18,11,1,0,1,0,0,4814.626953125,0,1,1,"disagree"
"16203",0,18,11,1,0,1,0,0,11303.1396484375,0,1,1,"neutral"
"16204",0,18,11,1,0,1,788.523315429688,2041.36303710938,796.559020996094,0,0,0,"disagree"
"16205",0,18,11,1,0,1,8784.2373046875,8784.2373046875,1824.37658691406,0,0,0,"disagree"
"16206",0,17,10,1,0,1,0,0,2657.705078125,0,1,1,"strongly agree"
"16207",0,25,11,1,1,1,0,0,44.7554588317871,0,1,1,"strongly disagree"
"16208",0,19,11,1,0,1,3504.01391601562,3285.67993164062,11195.9296875,0,0,0,"strongly agree"
"16209",0,19,11,1,0,1,6337.4921875,4503.06396484375,0,0,0,0,"neutral"
"16210",0,19,11,1,0,1,1868.02136230469,1868.02136230469,0,0,0,0,"neutral"
"16211",0,19,11,1,0,1,5217.3173828125,5160.2587890625,0,0,0,0,"strongly agree"
"16212",1,19,11,1,0,1,2305.02587890625,2615.27587890625,4146.60302734375,0,0,0,"no opinion"
"16213",1,19,11,1,0,1,9856.537109375,10224.375,11293.8095703125,0,0,0,"disagree"
"16214",0,19,11,1,0,1,946.227722167969,1615.90100097656,8823.0595703125,0,0,0,"no opinion"
"16215",0,19,11,1,0,1,393.859802246094,393.859802246094,2481.51831054688,0,0,0,"strongly agree"
"16216",1,21,11,1,0,1,2139.51611853872,2217.72436523438,4082.36987304688,0,0,0,"strongly agree"
"16217",0,20,11,1,0,1,7964.08642578125,8012.08544921875,18155.83203125,0,0,0,"strongly disagree"
"16218",0,20,11,1,0,1,2569.724609375,2531.31103515625,0,0,0,0,"neutral"
"16219",0,20,11,1,0,1,7967.20947265625,7967.20947265625,0,0,0,0,"neutral"
"16220",0,16.1458289689328,11,1,0,1,1650.4609375,1650.4609375,278.875061035156,0,0,0,"agree"
"16221",0,20,11,1,0,1,1168.05676269531,1633.20239257812,1310.7265625,0,0,0,"strongly agree"
"16222",1,20,11,1,0,1,3637.498046875,1220.83605957031,1085.43994140625,0,0,0,"no opinion"
"16223",0,24,9,1,0,1,2621.84252929688,4118.6806640625,597.419982910156,0,0,0,"agree"
"16224",0,30,9,0,0,1,3426.29956054688,3141.91674804688,1320.92248535156,0,0,0,"neutral"
"16225",0,31,10,1,1,1,0,0,0,0,1,1,"agree"
"16226",0,18,10,1,0,1,678.130187988281,2456.994140625,13674.74609375,0,0,0,"strongly disagree"
"16227",0,18,10,1,0,1,0,273.552490234375,5514.365234375,0,1,0,"disagree"
"16228",1,18,10,1,0,1,2143.41088867188,1784.27404785156,11141.3896484375,0,0,0,"neutral"
"16229",0,28,11,0,1,1,3472.94799804688,0,6771.6220703125,1,0,1,"disagree"
"16230",1,17,9,1,0,1,0,0,0,0,1,1,"strongly agree"
"16231",1,17,9,1,0,1,375.104705810547,375.104705810547,3621.70703125,0,0,0,"strongly disagree"
"16232",1,17,9,1,0,1,1716.50903320312,1253.43896484375,5445.2001953125,0,0,0,"strongly agree"
"16233",0,25,10,1,1,1,0,0,0,0,1,1,"agree"
"16234",0,44,11,1,0,1,0,0,0,0,1,1,"agree"
"16235",0,22,10,1,0,1,0,2174.955078125,5344.02099609375,0,1,0,"disagree"
"16236",1,19,10,1,0,1,2959.07666015625,3213.11279296875,2975.03149414062,0,0,0,"agree"
"16237",1,19,10,1,0,1,4121.94921875,6056.75390625,0,0,0,0,"disagree"
"16238",0,21,10,1,0,1,6661.06298828125,1162.36206054688,39483.53125,0,0,0,"strongly agree"
"16239",0,29,12,1,0,0,22859.439453125,2080.208984375,16969.94921875,0,0,0,"neutral"
"16240",1,29,12,1,0,0,10881.9404296875,1817.28405761719,0,0,0,0,"no opinion"
"16241",0,20,10,1,0,1,825.230163574219,825.230163574219,0,0,0,0,"no opinion"
"16242",1,20,10,1,0,1,11073.0888671875,11073.0888671875,0,0,0,0,"strongly agree"
"16243",0,20,10,1,0,1,3114.81713867188,2856.28735351562,18347.255859375,0,0,0,"disagree"
"16244",0,20,10,1,0,1,3666.63623046875,2749.97705078125,6867.74072265625,0,0,0,"disagree"
"16245",0,20,10,1,0,1,0,0,8598.5224609375,0,1,1,"agree"
"16246",0,18,9,1,0,1,0,0,0,0,1,1,"disagree"
"16247",0,18,9,1,0,1,2138.09399414062,2138.09399414062,5767.70458984375,0,0,0,"agree"
"16248",1,17,8,1,0,1,0,0,0,0,1,1,"strongly agree"
"16249",1,17,8,1,0,1,0,0,0,0,1,1,"disagree"
"16250",0,26,10,1,1,1,6140.3671875,558.773376464844,0,0,0,0,"neutral"
"16251",1,26,10,1,1,1,2027.9990234375,0,0,0,0,1,"neutral"
"16252",1,22,9,1,0,1,2192.876953125,3836.98608398438,3462.56396484375,0,0,0,"no opinion"
"16253",0,19,9,1,0,1,8409.626953125,1778.08898925781,7171,0,0,0,"no opinion"
"16254",0,21,9,1,0,1,31886.4296875,12357.2197265625,0,0,0,0,"no opinion"
"16255",0,20,9,1,0,1,7688.107421875,9164.44921875,8924.3955078125,0,0,0,"strongly agree"
"16256",0,20,9,1,0,1,9718.20703125,9691.033203125,8562.603515625,0,0,0,"no opinion"
"16257",0,31,4,0,0,1,11680.564453125,10711.0771484375,0,0,0,0,"agree"
"16258",0,44,9,1,0,1,0,0,9722.0029296875,0,1,1,"agree"
"16259",0,18,7,0,1,1,3059.47412109375,2672.2021484375,6330.8876953125,1,0,0,"neutral"
"16260",1,19,8,1,0,1,2636.35302734375,2937.26391601562,7535.94189453125,0,0,0,"neutral"
"16261",1,21,8,1,0,1,989.267822265625,3695.89697265625,4279.61279296875,0,0,0,"strongly disagree"
"16262",0,19,10,1,1,1,0,0,12797.669921875,0,1,1,"agree"
"16263",0,17,10,0,0,1,1203.60900878906,1239.62805175781,5088.98583984375,1,0,0,"no opinion"
"16264",0,19,11.2299022073671,1,1,1,0,0,16658.25,0,1,1,"strongly disagree"
"16265",0,19,6,0,0,1,0,0,5071.80078125,1,1,1,"strongly disagree"
"16266",0,29,11,1,1,1,0,0,0,0,1,1,"strongly disagree"
"16267",0,17,9,0,0,1,0,0,5114.81396484375,1,1,1,"strongly agree"
"16268",0,25,8,1,1,1,330.949493408203,515.827453613281,14281.306640625,0,0,0,"strongly agree"
"16269",1,29,10,1,1,1,4687.8017578125,4923.26318359375,130.679122924805,0,0,0,"no opinion"
"16270",1,24,10,1,1,1,11703.2001953125,4078.15209960938,0,0,0,0,"neutral"
"16271",0,28,8,0,0,1,0,0,8190.4208984375,0,1,1,"strongly disagree"
"16272",0,33,10.2166289929611,1,0,1,10523.830078125,2899.82006835938,18859.890625,0,0,0,"agree"
"16273",1,21,11,0,0,1,1261.63720703125,946.227905273438,11412.2353515625,0,0,0,"strongly agree"
"16274",1,26,11,0,0,1,3807.53588867188,4676.45703125,1973.34533691406,0,0,0,"strongly disagree"
"16275",0,28,11,1,1,1,8593.1630859375,5393.89501953125,4974.5859375,0,0,0,"neutral"
"16276",0,23,10,1,1,1,10746.078125,9854.1533203125,0,0,0,0,"disagree"
"16277",0,31,12,1,0,0,0,5613.9091796875,0,0,1,0,"strongly disagree"
"16278",0,31,12,1,0,0,0,0,7284.39404296875,0,1,1,"neutral"
"16279",1,25,11,0,0,1,0,0,18783.349609375,0,1,1,"strongly disagree"
"16280",1,25,12,1,0,0,3297.2490234375,2746.6083984375,2090.67846679688,0,0,0,"disagree"
"16281",1,25,12,1,0,0,0,0,11965.8095703125,0,1,1,"strongly disagree"
"16282",0,24,10,0,0,1,3000.83764648438,3000.83764648438,5350.0380859375,1,0,0,"strongly agree"
"16283",1,18,11,0,0,1,5491.53515625,5491.53515625,2454.5,1,0,0,"disagree"
"16284",0,27,11,1,1,1,1122.62060546875,1122.62060546875,215.834808349609,0,0,0,"strongly disagree"
"16285",1,17,10,0,0,1,2102.50244140625,2202.79638671875,4387.05712890625,1,0,0,"strongly disagree"
"16286",0,17,10,0,0,1,1442.68103027344,1734.55895996094,6354.19384765625,1,0,0,"no opinion"
"16287",0,17,10,0,0,1,4905.119140625,1168.90197753906,11306.26953125,1,0,0,"strongly agree"
"16288",1,43,9,1,0,1,0,0,0,0,1,1,"strongly agree"
"16289",1,25,10,0,0,1,5139.44775390625,4712.8740234375,6103.74609375,0,0,0,"no opinion"
"16290",0,25,8.76136419745328,0,0,1,8877.2109375,8140.40234375,3412.95483398438,0,0,0,"strongly disagree"
